run_id,checkpoint,benchmark,task,category,prompt_id,prompt_hash,expected_behavior,observed_behavior,exact_match,function_name_correct,argument_accuracy,tool_hallucination,strict_parse_success,schema_valid,nontrivial_error,primary_error,generated_sha256,generation_input_tokens,generation_output_tokens
r029,step50,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:1,c29516a52f59277691e7b04e0a4df1e448cbc6bb426bffdb18e131d1f6697af7,tool_call,tool_call,True,True,True,False,True,True,False,,b96e0ef2475604577b6c7643e72a023e5d5ba23f01944492710b0f483c1e95e7,201,72
r029,step50,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:2,b25d63b48d8b3e6176b4404e9d3fa004a3bc1507104bbc479bf68d39b889cb8d,tool_call,tool_call,True,True,True,False,True,True,False,,1090075f9273ff101e1b5a17681392df5dcfbe87dbef429d7c51581d618a8e6d,187,72
r029,step50,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:3,5ca1b20bfc69f6a8ba11564361105e06110fb437afda3431099ea0561e19e639,tool_call,tool_call,True,True,True,False,True,True,False,,f65799a69fc8cb0d0b78bea0cd1698dab566e82e6b77c1ab0d3fd816aa2dac1d,207,72
r029,step50,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:4,6c8fa484bae30079a1324c5171e2226967687dfe11699f27e0961d2865de8496,tool_call,tool_call,True,True,True,False,True,True,False,,742d4d080e9fb00281593f2bb903cbd641bde984c24a9cc2dd64563718767235,207,72
r029,step50,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:5,b1ddeb389b962b43d2583d2f56433e36f4e4e0a3793eeb540634729f936d8c23,tool_call,tool_call,True,True,True,False,True,True,False,,387328fbd4930d91072bde6de31a6b8faf62a1b832b731513deb2fe3c8c55cc7,214,72
r029,step50,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:6,9a29e8f5b175e55c79f90c14a89edefa1ec44ef758400d7592ffaad15765a952,tool_call,tool_call,True,True,True,False,True,True,False,,cdc80da0665c90952cc8525a777f3dba2ac484f7377033d393f89157f9205701,260,72
r029,step50,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:7,feb72b48eb13e3e02295ada9482c228c21732a98c56a4697a7c26ad67fc1f267,tool_call,tool_call,True,True,True,False,True,True,False,,890eacd5ee634079f61c70b04344256bf92dfd8b4c247fa45d237e4d73fe8554,250,72
r029,step50,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:8,68320fc53f90a29e1ca3938030d52dfc4c87d0388d9c5065f83858cc911b5811,tool_call,tool_call,True,True,True,False,True,True,False,,7320c1650d096d02399846402f481a059faf2324223842037e1b9a9615e2f9bb,250,72
r029,step50,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:9,144931f908fcd491d7d59792770d2310279af194931410ce9512e6677afd7bf7,tool_call,direct_answer,False,False,False,False,False,False,False,format_parse_error,819b47e73d37d258e2444b051f30db525064115599500bfc245178aede6870c3,303,72
r029,step50,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:10,feb9cdc4eb48773816ee51ea349a723d105506823b4c4995ea84179fc019af64,tool_call,tool_call,True,True,True,False,True,True,False,,25d9d7f3cf560f9c1ef0686bd759e7fc534ef816b9183929a35a6822cfbbef0b,272,72
