run_id,checkpoint,benchmark,task,category,prompt_id,prompt_hash,expected_behavior,observed_behavior,exact_match,function_name_correct,argument_accuracy,tool_hallucination,strict_parse_success,schema_valid,nontrivial_error,primary_error,generated_sha256,generation_input_tokens,generation_output_tokens
r004,sft_best,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:1,c29516a52f59277691e7b04e0a4df1e448cbc6bb426bffdb18e131d1f6697af7,tool_call,tool_call,True,True,True,False,True,True,False,,171fc1d0b388b267fe28b28653ddad8a1a5cd364007d0ae500d510f801361034,201,34
r004,sft_best,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:2,b25d63b48d8b3e6176b4404e9d3fa004a3bc1507104bbc479bf68d39b889cb8d,tool_call,tool_call,True,True,True,False,True,True,False,,671a247dfa6ccb443e92bf37edef5f8d305b6c2cafa0bd5d64f25bb29b0415d4,187,34
r004,sft_best,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:3,5ca1b20bfc69f6a8ba11564361105e06110fb437afda3431099ea0561e19e639,tool_call,tool_call,True,True,True,False,True,True,False,,2fa2963529aaa06a69d57b44100248d44ae632039373c4721c94db4f9d512691,207,34
r004,sft_best,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:4,6c8fa484bae30079a1324c5171e2226967687dfe11699f27e0961d2865de8496,tool_call,tool_call,True,True,True,False,True,True,False,,925db8be307328159cb8e598d194e27168ee3002b7eff99c5faf227e3aea87ad,207,34
r004,sft_best,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:5,b1ddeb389b962b43d2583d2f56433e36f4e4e0a3793eeb540634729f936d8c23,tool_call,tool_call,True,True,True,False,True,True,False,,72b3d0317b384ae785f1804457e100ff8c88116af84760aad8c7f9762c7f8e38,214,34
r004,sft_best,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:6,9a29e8f5b175e55c79f90c14a89edefa1ec44ef758400d7592ffaad15765a952,tool_call,tool_call,True,True,True,False,True,True,False,,d54faea56b2b083c1a9139c3a7f71d87e19e2498c52c370d63a0b85d77d17794,260,34
r004,sft_best,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:7,feb72b48eb13e3e02295ada9482c228c21732a98c56a4697a7c26ad67fc1f267,tool_call,tool_call,True,True,True,False,True,True,False,,bdd5a29f10b5451a1df5b589f2d350623b6a4ce619a0d4089adb80b0a280c0ec,250,34
r004,sft_best,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:8,68320fc53f90a29e1ca3938030d52dfc4c87d0388d9c5065f83858cc911b5811,tool_call,tool_call,True,True,True,False,True,True,False,,f04f3f0dcb22245b360ebd50ae8f014f33f6603dc59486147e89716573a683a8,250,34
r004,sft_best,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:9,144931f908fcd491d7d59792770d2310279af194931410ce9512e6677afd7bf7,tool_call,direct_answer,False,False,False,False,False,False,False,format_parse_error,819b47e73d37d258e2444b051f30db525064115599500bfc245178aede6870c3,303,72
r004,sft_best,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:10,feb9cdc4eb48773816ee51ea349a723d105506823b4c4995ea84179fc019af64,tool_call,tool_call,True,True,True,False,True,True,False,,25d9d7f3cf560f9c1ef0686bd759e7fc534ef816b9183929a35a6822cfbbef0b,272,72
r004,sft_best,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:11,e2b2264de0b4f65d981ef308e2d3040154490f6af9862297bf4cc37c68865e35,tool_call,tool_call,True,True,True,False,True,True,False,,7d48576c94ff873f75bcf490f7c05acbdbf3008fe6a989069ddc312d5282016c,246,72
r004,sft_best,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:12,404c3413bd46cc50243a03be184b46eadcb4a11db76b757985a807b97b790124,tool_call,tool_call,True,True,True,False,True,True,False,,0a577ac65fb397d489df7c62f36b2b5853a33b4ef1ebe9f4814b253c4e332e24,317,72
r004,sft_best,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:13,e5a859b7427d3be9e3e805b40e2482ff70c581dfdaecd4ca76326c87175ed240,tool_call,direct_answer,False,False,False,False,False,False,False,format_parse_error,6cc7eb96257b2899a2353b22603b1c0e1dd627321009106ce4003b1e2e16a111,261,72
r004,sft_best,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:14,e597ec64d1be470ac75a1315de13d10757cf449d55b096f415c55e2f8980e878,tool_call,tool_call,True,True,True,False,True,True,False,,227452255cc2abc2d6ff8e9f79e766bf19da5af597c63761ed8e0d54eb240442,299,72
r004,sft_best,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:15,b417d1bb3c09210adfe7e98ba42beee5a8577a211b0c67a6da7f26053433ea6a,tool_call,tool_call,True,True,True,False,True,True,False,,0c42983939d143b90033a04f79d83a6052994f18e886ebdcc422980d27995001,294,72
r004,sft_best,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:16,94265cffba37026c35c09f299dffc2aa1523f592fbe06e261224596814245a1c,tool_call,tool_call,True,True,True,False,True,True,False,,7e1818b39c33708290c1d87b6e12af23a175babfe5d96ac4a9f0dc8977482a1a,262,72
r004,sft_best,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:17,d65033158b49f58967d8122470f67e504fb9014022b3ab1bb7ac6844aee19eaf,tool_call,tool_call,True,True,True,False,True,True,False,,30d14380b0a3c834e3a645cafe95b060c794e087ba226a933ad496ec8c6de6b0,224,63
r004,sft_best,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:18,f983dd237fbe638609a09e320e0f4ba22c733ffb5612b9cb4da8f57c15f92091,tool_call,tool_call,True,True,True,False,True,True,False,,6de2317f4f6865402c6b695fac168167cf0b993654f489a2b4c22566e2fa0f18,218,63
r004,sft_best,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:19,4fa9f66e7a2372c787393489310934ff1f1e159dddffc91c470608e90b2b2957,tool_call,direct_answer,False,False,False,False,False,False,False,format_parse_error,8795f224b46e3fc2d6b76323d84af69a8229351f409d9cfe9badeefe891f03b6,233,63
r004,sft_best,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:20,3f3aa1b0bb17fdb2b1af79e6b9f7448c02306ae9353912663ddc7973d5e0b06d,tool_call,tool_call,False,True,False,False,True,True,True,wrong_argument_value,b1c77af2d97e47518a599f1bbd0dfd481c80385cdf539bbee0b45086516d8379,242,63
r004,sft_best,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:21,4e6020c935c3c4cf0f16083f3e7037b466e928d0cddff7963b4b678e9cce3b52,tool_call,tool_call,True,True,True,False,True,True,False,,c9d92039f9a6c24fc4943af072fcc9914076c93537726cd403fe4520bd7bbb69,247,63
r004,sft_best,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:22,e805d9eaca003f1267e94b7cf87c20a12be393196f019873bb7f04e517972502,tool_call,tool_call,True,True,True,False,True,True,False,,093c40eb0ed8d94563fff5d7fb42186e5d6c723a93fb13828f816cff5df045ba,246,63
r004,sft_best,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:23,4b074ab7f6757d0a5761cd16a79481f026ba7b29e57afc47b8951582af0befe2,tool_call,tool_call,True,True,True,False,True,True,False,,9704ca3675579528900ca89092f9cfa086b879aea9129def32aae31e08c65c1c,279,63
r004,sft_best,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:24,a6772eecf6d89f2927e3115589635a98fbe1a520b402389857269344e9be0601,tool_call,tool_call,False,True,False,False,True,True,True,wrong_argument_value,734f1c674328a513114d112f4a2c65713bcd950d6c3052698b694e7278d3cb41,231,63
r004,sft_best,FunctionChat-Bench,functionchat,singlecall,functionchat:singlecall:25,a84e2c479884b7076cde38d461efc601730d131fb5a0e1a9a63c3323b1a9b3c5,tool_call,tool_call,False,True,False,False,True,True,True,wrong_argument_value,9d276c2104c5a59a7659df46afa1b18fb795c339edb2950e4c2d7187bd13d535,298,73
r004,sft_best,FunctionChat-Bench,functionchat,dialog,functionchat:dialog:0,ad1739585c41b43630395b2283417668faaa9ec3425a5bce66899ff1ea8270fe,tool_call,tool_call,True,True,True,False,True,True,False,,1d04bf8035c7882e5f4d8ddef1ce5687288d6c6f2e642f56d46413a76964efee,286,73
r004,sft_best,FunctionChat-Bench,functionchat,dialog,functionchat:dialog:1,ccce7c78f06fc6031dfb40a2a4324ccd08512fabbbd3000a8af10f7961629479,tool_call,tool_call,True,True,True,False,True,True,False,,2b2eee995615649f0325cd3857c6da6b5e86fca699a36f2399605b2691b0ef16,806,73
r004,sft_best,FunctionChat-Bench,functionchat,dialog,functionchat:dialog:2,06f63500336d42fcf8ab8b65501ce6b0e892e61bf050f168783f498d1ac5365a,tool_call,tool_call,True,True,True,False,True,True,False,,fcde825afae8e344174c148f0447989ba63239cd277da302ed5c98f1f0ea7d2c,1177,73
r004,sft_best,FunctionChat-Bench,functionchat,dialog,functionchat:dialog:3,75e0598ecde6f16adbdba798015d0e4ebc2fdc5e3410a462f19fd3fabe52fd0c,tool_call,tool_call,False,True,False,False,True,True,True,wrong_argument_value,7221c100f72aa8c6a107355f6cd7048202bd261650da208b51f5e59894b0bb5d,357,73
r004,sft_best,FunctionChat-Bench,functionchat,dialog,functionchat:dialog:4,b577e68de0de2383d9b59b3dd98ef366e91b1c9a790ecd96215a946bd247ca5e,tool_call,tool_call,True,True,True,False,True,True,False,,b06530a8049de19a5070460bb55895d768d53a9680f7e4fc4134b6d767d39960,279,73
r004,sft_best,FunctionChat-Bench,functionchat,dialog,functionchat:dialog:5,87b3237b3a950cf392d4f82039d2b03c8d9e36399279c6cc5d39e9305e3cf810,tool_call,tool_call,True,True,True,False,True,True,False,,b0ecc6f0eb109cf759c075dba28470b24d79b728edab8df4e8d06a216febcf31,544,73
r004,sft_best,FunctionChat-Bench,functionchat,dialog,functionchat:dialog:6,0bd12441a1584884d2e8a4d410b13e4f9ead550958189b39417ec6484224f1a7,tool_call,tool_call,True,True,True,False,True,True,False,,cf3002ec908c7459add1fb644d33826c018a54e55aee1cfd7c0b084a1142d235,345,73
r004,sft_best,FunctionChat-Bench,functionchat,dialog,functionchat:dialog:7,458c5a000ac78c181b404331572f4075354900d20d98a4d75527c471a6c54ab7,tool_call,tool_call,True,True,True,False,True,True,False,,62774385a55f76ff60bc64a703e6c06b5008261ba7c5e3c0b228e917e611964d,342,41
r004,sft_best,FunctionChat-Bench,functionchat,dialog,functionchat:dialog:8,0781df1a261e5bb9254eb9cf5ca2fb8a479bae97a9c320f50ce9b3dbe1bceb65,tool_call,tool_call,True,True,True,False,True,True,False,,56c46d97ff45f78b961e389462ac6e699d84f060136c6e198da66f49cdcaa192,396,41
r004,sft_best,FunctionChat-Bench,functionchat,dialog,functionchat:dialog:9,4b939a8981052bd639c2f90157eb2cd11b3a62e83ae21351b8003c4fb4d51288,tool_call,tool_call,True,True,True,False,True,True,False,,ab3e03ff360df76842a9390cad3544f17b68436f989f368d5655ac8f9a85693f,271,41
r004,sft_best,FunctionChat-Bench,functionchat,dialog,functionchat:dialog:10,ae271d2466576cc23fc8a6dee73fdffb9e578e09680d65401a703969cf557cd3,tool_call,tool_call,True,True,True,False,True,True,False,,8896da62184a3e467b81bf759a127e45f9b7822248f4823ecfb7981087b24044,329,41
r004,sft_best,FunctionChat-Bench,functionchat,dialog,functionchat:dialog:11,799a6e49a459624fb86f2b76112690e0c7033f88b06b6c2dd3c86441d27fcd89,tool_call,tool_call,True,True,True,False,True,True,False,,d6f610dbd1719e9c3990491f406dd5d1879585b9c45e3f3ab329a886e30b8a32,538,41
r004,sft_best,FunctionChat-Bench,functionchat,dialog,functionchat:dialog:12,4785c2508f5568af2f2326b7fe3b74b9f2208d525875c91d9a98532d7d42eb7b,tool_call,tool_call,True,True,True,False,True,True,False,,20acce2a8e742fd5de9f66c0747faa4cef464fa7e4b6ee416e2ebabf3e3af992,428,41
r004,sft_best,FunctionChat-Bench,functionchat,dialog,functionchat:dialog:13,32123e0ebbdcaa98ce845699b144f41ceeba2368e0f30c79d11712afb9c22a0d,tool_call,tool_call,True,True,True,False,True,True,False,,a7e67d7f648488df972037bbfbfe9f8246a54cbad819e65fefabf200489c3cb2,626,41
r004,sft_best,FunctionChat-Bench,functionchat,dialog,functionchat:dialog:14,d23998810eb2ba7ae8684eaba19e2b987e46ee432d563352b2f27f8b71377a8c,tool_call,tool_call,True,True,True,False,True,True,False,,6d941a721dc2685b25bdc26cf6cfc447c8544d8ac16466531057d7932335e7af,497,41
